net,length_um
net569,975.81µm
net571,959.385µm
net546,920.98µm
net601,859.08µm
net606,830.59µm
net612,822.92µm
net577,817.86µm
net540,794.92µm
net610,793.18µm
net567,759.97µm
net573,745.82µm
net81,740.45µm
net611,708.61µm
net486,704.6µm
net3,699.52µm
net591,695.98µm
net568,687.28µm
net589,686.61µm
net542,684.555µm
net572,679.42µm
net607,678.93µm
net597,678.44µm
net579,675.69µm
net583,667.755µm
net584,660.72µm
net82,653.2µm
net570,652.83µm
net565,642.1µm
net533,641.98µm
net608,639.04µm
net614,635.22µm
net575,630.5µm
net545,627.425µm
net558,617.1µm
net158,616.82µm
net543,616.7µm
net604,616.41µm
net537,615.34µm
net562,610.22µm
net609,599.52µm
net576,598.72µm
net599,593.73µm
net550,592.82µm
net544,586.58µm
net582,586.17µm
net494,581.67µm
net564,577.79µm
net580,575.21µm
net501,572.01µm
net460,568.475µm
net618,565.34µm
net489,538.15µm
net556,535.83µm
net541,532.765µm
net490,530.41µm
net598,526.555µm
B,522.09µm
net595,521.365µm
net643,519.29µm
net110,516.07µm
net574,514.36µm
net566,512.88µm
net551,512.54µm
net555,503.72µm
net83,501.32µm
net554,499.96µm
net559,495.11µm
net585,492.28µm
net600,487.19µm
net491,486.72µm
net128,484.275µm
net553,483.51µm
net478,483.05µm
net16,483.01µm
_0120_,481.785µm
net464,476.5µm
net588,476.14µm
_0093_,475.69µm
net602,474.755µm
Inst_LUT4AB_switch_matrix.JW2BEG3,473.99µm
net592,473.875µm
net594,473.21µm
net40,471.04µm
net549,470.315µm
net496,465.96µm
_0053_,461.255µm
net55,459.26µm
_0617_,458.55µm
Inst_LUT4AB_switch_matrix.JW2BEG5,456.78µm
net122,449.425µm
net475,449.16µm
net159,447.82µm
net547,446.08µm
net560,443.52µm
net43,441.54µm
net44,441.34µm
net2,440.31µm
net151,438.76µm
net136,435.8µm
E,435.64µm
net487,433.76µm
net482,432.28µm
net480,431.69µm
net439,430.925µm
net157,428.42µm
net578,428.29µm
net521,427.72µm
net531,427.16µm
net529,424.22µm
net59,421.3µm
net453,419.45µm
