Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_178_1049,VGND,li1,487.8300,489.6000,0.000014
FILLER_178_1037,VGND,li1,484.8400,489.6000,0.000013
FILLER_178_1033,VGND,li1,480.9300,489.6000,0.000017
FILLER_178_1021,VGND,li1,477.4800,489.6000,0.000021
FILLER_178_1009,VGND,li1,471.9600,489.6000,0.000027
FILLER_178_1005,VGND,li1,468.0500,489.6000,0.000032
FILLER_178_993,VGND,li1,464.6000,489.6000,0.000034
FILLER_178_981,VGND,li1,459.0800,489.6000,0.000040
FILLER_178_977,VGND,li1,455.1700,489.6000,0.000044
FILLER_178_965,VGND,li1,451.7200,489.6000,0.000047
FILLER_178_953,VGND,li1,446.2000,489.6000,0.000053
FILLER_178_949,VGND,li1,442.2900,489.6000,0.000058
FILLER_178_937,VGND,li1,438.8400,489.6000,0.000061
FILLER_178_925,VGND,li1,433.3200,489.6000,0.000066
FILLER_178_923,VGND,li1,429.8700,489.6000,0.000070
FILLER_178_911,VGND,li1,426.8800,489.6000,0.000074
FILLER_178_903,VGND,li1,421.3600,489.6000,0.000080
FILLER_178_897,VGND,li1,418.3700,489.6000,0.000082
FILLER_178_890,VGND,li1,415.1500,489.6000,0.000085
FILLER_178_883,VGND,li1,411.9300,489.6000,0.000088
FILLER_178_864,VGND,li1,403.4200,489.6000,0.000092
FILLER_178_849,VGND,li1,396.0600,489.6000,0.000094
FILLER_178_834,VGND,li1,390.0800,489.6000,0.000094
FILLER_178_827,VGND,li1,386.1700,489.6000,0.000094
FILLER_178_821,VGND,li1,383.1800,489.6000,0.000094
FILLER_178_806,VGND,li1,377.2000,489.6000,0.000093
FILLER_178_798,VGND,li1,373.0600,489.6000,0.000090
FILLER_178_793,VGND,li1,370.3000,489.6000,0.000089
FILLER_178_778,VGND,li1,364.3200,489.6000,0.000086
FILLER_178_771,VGND,li1,360.4100,489.6000,0.000082
FILLER_178_761,VGND,li1,356.5000,489.6000,0.000080
FILLER_178_750,VGND,li1,351.4400,489.6000,0.000075
FILLER_178_742,VGND,li1,347.3000,489.6000,0.000069
FILLER_178_737,VGND,li1,344.5400,489.6000,0.000066
FILLER_178_715,VGND,li1,334.6500,489.6000,0.000053
FILLER_178_705,VGND,li1,330.7400,489.6000,0.000049
FILLER_178_694,VGND,li1,325.6800,489.6000,0.000066
FILLER_178_689,VGND,li1,322.2300,489.6000,0.000081
FILLER_178_685,VGND,li1,321.0800,489.6000,0.000081
FILLER_178_669,VGND,li1,313.4900,489.6000,0.000109
FILLER_178_652,VGND,li1,305.6700,489.6000,0.000131
FILLER_178_643,VGND,li1,301.0700,489.6000,0.000139
FILLER_178_631,VGND,li1,296.0100,489.6000,0.000155
FILLER_178_624,VGND,li1,292.7900,489.6000,0.000160
FILLER_178_617,VGND,li1,289.5700,489.6000,0.000165
FILLER_178_610,VGND,li1,287.0400,489.6000,0.000168
FILLER_178_603,VGND,li1,283.1300,489.6000,0.000176
FILLER_178_597,VGND,li1,280.1400,489.6000,0.000180
FILLER_178_582,VGND,li1,274.1600,489.6000,0.000186
FILLER_178_575,VGND,li1,270.2500,489.6000,0.000193
FILLER_178_569,VGND,li1,267.2600,489.6000,0.000196
FILLER_178_559,VGND,li1,262.4300,489.6000,0.000201
FILLER_178_553,VGND,li1,260.8200,489.6000,0.000201
FILLER_178_547,VGND,li1,257.3700,489.6000,0.000204
FILLER_178_540,VGND,li1,254.1500,489.6000,0.000207
FILLER_178_526,VGND,li1,248.4000,489.6000,0.000211
FILLER_178_519,VGND,li1,244.4900,489.6000,0.000214
FILLER_178_509,VGND,li1,240.5800,489.6000,0.000215
FILLER_178_498,VGND,li1,235.5200,489.6000,0.000215
FILLER_178_491,VGND,li1,231.6100,489.6000,0.000213
FILLER_178_484,VGND,li1,228.3900,489.6000,0.000212
FILLER_178_477,VGND,li1,225.1700,489.6000,0.000210
FILLER_178_463,VGND,li1,218.2700,489.6000,0.000201
FILLER_178_447,VGND,li1,210.9100,489.6000,0.000190
FILLER_178_435,VGND,li1,205.8500,489.6000,0.000174
FILLER_178_428,VGND,li1,202.6300,489.6000,0.000167
FILLER_178_421,VGND,li1,199.4100,489.6000,0.000157
FILLER_178_414,VGND,li1,196.8800,489.6000,0.000149
FILLER_178_409,VGND,li1,193.4300,489.6000,0.000134
FILLER_178_393,VGND,li1,186.5300,489.6000,0.000110
FILLER_178_386,VGND,li1,184.0000,489.6000,0.000102
FILLER_178_379,VGND,li1,180.0900,489.6000,0.000085
FILLER_178_365,VGND,li1,173.4200,489.6000,0.000085
FILLER_178_358,VGND,li1,170.2000,489.6000,0.000092
FILLER_178_352,VGND,li1,167.4400,489.6000,0.000099
FILLER_178_344,VGND,li1,165.1400,489.6000,0.000105
FILLER_178_337,VGND,li1,160.7700,489.6000,0.000118
FILLER_178_335,VGND,li1,159.3900,489.6000,0.000123
FILLER_178_329,VGND,li1,157.7800,489.6000,0.000123
FILLER_178_325,VGND,li1,154.7900,489.6000,0.000134
FILLER_178_295,VGND,li1,140.9900,489.6000,0.000153
FILLER_178_285,VGND,li1,137.5400,489.6000,0.000154
FILLER_178_279,VGND,li1,133.6300,489.6000,0.000156
FILLER_178_273,VGND,li1,132.0200,489.6000,0.000156
FILLER_178_267,VGND,li1,128.5700,489.6000,0.000157
FILLER_178_260,VGND,li1,125.3500,489.6000,0.000158
FILLER_178_253,VGND,li1,122.1300,489.6000,0.000158
FILLER_178_246,VGND,li1,118.6800,489.6000,0.000158
FILLER_178_239,VGND,li1,115.6900,489.6000,0.000158
FILLER_178_234,VGND,li1,112.9300,489.6000,0.000157
FILLER_178_225,VGND,li1,109.2500,489.6000,0.000156
FILLER_178_218,VGND,li1,105.8000,489.6000,0.000154
FILLER_178_211,VGND,li1,102.8100,489.6000,0.000152
FILLER_178_204,VGND,li1,99.5900,489.6000,0.000149
FILLER_178_197,VGND,li1,96.3700,489.6000,0.000147
FILLER_178_190,VGND,li1,92.9200,489.6000,0.000145
FILLER_178_183,VGND,li1,89.9300,489.6000,0.000140
FILLER_178_176,VGND,li1,86.7100,489.6000,0.000137
FILLER_178_169,VGND,li1,83.4900,489.6000,0.000135
FILLER_178_156,VGND,li1,77.2800,489.6000,0.000127
FILLER_178_148,VGND,li1,74.9800,489.6000,0.000123
FILLER_178_141,VGND,li1,70.6100,489.6000,0.000115
FILLER_178_134,VGND,li1,67.1600,489.6000,0.000111
FILLER_178_127,VGND,li1,64.1700,489.6000,0.000103
FILLER_178_120,VGND,li1,60.9500,489.6000,0.000096
FILLER_178_113,VGND,li1,57.7300,489.6000,0.000090
FILLER_178_105,VGND,li1,54.0500,489.6000,0.000086
FILLER_178_97,VGND,li1,51.5200,489.6000,0.000078
FILLER_178_85,VGND,li1,46.9200,489.6000,0.000071
FILLER_178_81,VGND,li1,43.0100,489.6000,0.000062
FILLER_178_69,VGND,li1,39.5600,489.6000,0.000055
FILLER_178_57,VGND,li1,34.0400,489.6000,0.000043
FILLER_178_53,VGND,li1,30.1300,489.6000,0.000035
FILLER_178_41,VGND,li1,26.6800,489.6000,0.000028
FILLER_178_29,VGND,li1,21.1600,489.6000,0.000024
FILLER_178_27,VGND,li1,17.7100,489.6000,0.000025
FILLER_178_23,VGND,li1,16.5600,489.6000,0.000025
FILLER_178_11,VGND,li1,12.8800,489.6000,0.000026
FILLER_177_1057,VGND,li1,491.5100,489.6000,0.000015
FILLER_177_1045,VGND,li1,488.5200,489.6000,0.000014
FILLER_177_1033,VGND,li1,483.0000,489.6000,0.000015
FILLER_177_1021,VGND,li1,477.4800,489.6000,0.000021
FILLER_177_1009,VGND,li1,471.9600,489.6000,0.000027
FILLER_177_1007,VGND,li1,468.5100,489.6000,0.000032
FILLER_177_1001,VGND,li1,466.9000,489.6000,0.000032
FILLER_177_989,VGND,li1,462.7600,489.6000,0.000036
FILLER_177_977,VGND,li1,457.2400,489.6000,0.000042
FILLER_177_965,VGND,li1,451.7200,489.6000,0.000047
FILLER_177_953,VGND,li1,446.2000,489.6000,0.000053
FILLER_177_951,VGND,li1,442.7500,489.6000,0.000058
FILLER_177_945,VGND,li1,441.1400,489.6000,0.000058
FILLER_177_933,VGND,li1,437.0000,489.6000,0.000063
FILLER_177_921,VGND,li1,431.4800,489.6000,0.000070
FILLER_177_909,VGND,li1,425.9600,489.6000,0.000074
FILLER_177_897,VGND,li1,420.4400,489.6000,0.000080
FILLER_177_895,VGND,li1,416.9900,489.6000,0.000084
FILLER_177_889,VGND,li1,415.3800,489.6000,0.000084
FILLER_177_877,VGND,li1,411.2400,489.6000,0.000088
FILLER_177_865,VGND,li1,405.7200,489.6000,0.000091
FILLER_177_853,VGND,li1,400.2000,489.6000,0.000093
FILLER_177_841,VGND,li1,394.6800,489.6000,0.000094
FILLER_177_839,VGND,li1,391.2300,489.6000,0.000094
FILLER_177_833,VGND,li1,389.6200,489.6000,0.000094
FILLER_177_821,VGND,li1,385.4800,489.6000,0.000094
FILLER_177_809,VGND,li1,379.9600,489.6000,0.000094
FILLER_177_797,VGND,li1,374.4400,489.6000,0.000092
FILLER_177_785,VGND,li1,368.9200,489.6000,0.000089
FILLER_177_783,VGND,li1,365.4700,489.6000,0.000086
FILLER_177_777,VGND,li1,363.8600,489.6000,0.000086
FILLER_177_765,VGND,li1,359.7200,489.6000,0.000082
FILLER_177_753,VGND,li1,354.2000,489.6000,0.000078
FILLER_177_741,VGND,li1,348.6800,489.6000,0.000072
FILLER_177_729,VGND,li1,343.1600,489.6000,0.000066
FILLER_177_727,VGND,li1,339.7100,489.6000,0.000062
FILLER_177_721,VGND,li1,338.1000,489.6000,0.000059
FILLER_177_709,VGND,li1,333.9600,489.6000,0.000053
FILLER_177_697,VGND,li1,328.4400,489.6000,0.000057
FILLER_177_685,VGND,li1,322.9200,489.6000,0.000075
FILLER_177_673,VGND,li1,317.4000,489.6000,0.000092
FILLER_177_671,VGND,li1,313.9500,489.6000,0.000103
FILLER_177_665,VGND,li1,312.3400,489.6000,0.000109
FILLER_177_653,VGND,li1,308.2000,489.6000,0.000119
FILLER_177_641,VGND,li1,302.6800,489.6000,0.000139
FILLER_177_629,VGND,li1,297.1600,489.6000,0.000149
FILLER_177_617,VGND,li1,291.6400,489.6000,0.000160
FILLER_177_615,VGND,li1,288.1900,489.6000,0.000168
FILLER_177_609,VGND,li1,286.5800,489.6000,0.000168
FILLER_177_597,VGND,li1,282.4400,489.6000,0.000176
FILLER_177_585,VGND,li1,276.9200,489.6000,0.000183
FILLER_177_573,VGND,li1,271.4000,489.6000,0.000189
FILLER_177_561,VGND,li1,265.8800,489.6000,0.000196
FILLER_177_559,VGND,li1,262.4300,489.6000,0.000201
FILLER_177_553,VGND,li1,260.8200,489.6000,0.000201
FILLER_177_541,VGND,li1,256.6800,489.6000,0.000204
