Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_178_1049,VPWR,li1,487.8300,492.3200,1.799984
FILLER_178_1037,VPWR,li1,484.8400,492.3200,1.799985
FILLER_178_1033,VPWR,li1,480.9300,492.3200,1.799986
FILLER_178_1021,VPWR,li1,477.4800,492.3200,1.799982
FILLER_178_1009,VPWR,li1,471.9600,492.3200,1.799976
FILLER_178_1005,VPWR,li1,468.0500,492.3200,1.799972
FILLER_178_993,VPWR,li1,464.6000,492.3200,1.799968
FILLER_178_981,VPWR,li1,459.0800,492.3200,1.799962
FILLER_178_977,VPWR,li1,455.1700,492.3200,1.799958
FILLER_178_965,VPWR,li1,451.7200,492.3200,1.799954
FILLER_178_953,VPWR,li1,446.2000,492.3200,1.799948
FILLER_178_949,VPWR,li1,442.2900,492.3200,1.799944
FILLER_178_937,VPWR,li1,438.8400,492.3200,1.799941
FILLER_178_925,VPWR,li1,433.3200,492.3200,1.799935
FILLER_178_923,VPWR,li1,429.8700,492.3200,1.799931
FILLER_178_911,VPWR,li1,426.8800,492.3200,1.799928
FILLER_178_903,VPWR,li1,421.3600,492.3200,1.799922
FILLER_178_897,VPWR,li1,418.3700,492.3200,1.799919
FILLER_178_890,VPWR,li1,415.1500,492.3200,1.799914
FILLER_178_883,VPWR,li1,411.9300,492.3200,1.799912
FILLER_178_864,VPWR,li1,403.4200,492.3200,1.799907
FILLER_178_849,VPWR,li1,396.0600,492.3200,1.799905
FILLER_178_834,VPWR,li1,390.0800,492.3200,1.799904
FILLER_178_827,VPWR,li1,386.1700,492.3200,1.799904
FILLER_178_821,VPWR,li1,383.1800,492.3200,1.799904
FILLER_178_806,VPWR,li1,377.2000,492.3200,1.799905
FILLER_178_798,VPWR,li1,373.0600,492.3200,1.799907
FILLER_178_793,VPWR,li1,370.3000,492.3200,1.799909
FILLER_178_778,VPWR,li1,364.3200,492.3200,1.799911
FILLER_178_771,VPWR,li1,360.4100,492.3200,1.799915
FILLER_178_761,VPWR,li1,356.5000,492.3200,1.799917
FILLER_178_750,VPWR,li1,351.4400,492.3200,1.799921
FILLER_178_742,VPWR,li1,347.3000,492.3200,1.799927
FILLER_178_737,VPWR,li1,344.5400,492.3200,1.799930
FILLER_178_715,VPWR,li1,334.6500,492.3200,1.799943
FILLER_178_705,VPWR,li1,330.7400,492.3200,1.799946
FILLER_178_694,VPWR,li1,325.6800,492.3200,1.799940
FILLER_178_689,VPWR,li1,322.2300,492.3200,1.799925
FILLER_178_685,VPWR,li1,321.0800,492.3200,1.799925
FILLER_178_669,VPWR,li1,313.4900,492.3200,1.799895
FILLER_178_652,VPWR,li1,305.6700,492.3200,1.799872
FILLER_178_643,VPWR,li1,301.0700,492.3200,1.799863
FILLER_178_631,VPWR,li1,296.0100,492.3200,1.799851
FILLER_178_624,VPWR,li1,292.7900,492.3200,1.799845
FILLER_178_617,VPWR,li1,289.5700,492.3200,1.799839
FILLER_178_610,VPWR,li1,287.0400,492.3200,1.799834
FILLER_178_603,VPWR,li1,283.1300,492.3200,1.799824
FILLER_178_597,VPWR,li1,280.1400,492.3200,1.799820
FILLER_178_582,VPWR,li1,274.1600,492.3200,1.799813
FILLER_178_575,VPWR,li1,270.2500,492.3200,1.799806
FILLER_178_569,VPWR,li1,267.2600,492.3200,1.799803
FILLER_178_559,VPWR,li1,262.4300,492.3200,1.799797
FILLER_178_553,VPWR,li1,260.8200,492.3200,1.799797
FILLER_178_547,VPWR,li1,257.3700,492.3200,1.799794
FILLER_178_540,VPWR,li1,254.1500,492.3200,1.799791
FILLER_178_526,VPWR,li1,248.4000,492.3200,1.799786
FILLER_178_519,VPWR,li1,244.4900,492.3200,1.799783
FILLER_178_509,VPWR,li1,240.5800,492.3200,1.799782
FILLER_178_498,VPWR,li1,235.5200,492.3200,1.799782
FILLER_178_491,VPWR,li1,231.6100,492.3200,1.799784
FILLER_178_484,VPWR,li1,228.3900,492.3200,1.799786
FILLER_178_477,VPWR,li1,225.1700,492.3200,1.799787
FILLER_178_463,VPWR,li1,218.2700,492.3200,1.799795
FILLER_178_447,VPWR,li1,210.9100,492.3200,1.799806
FILLER_178_435,VPWR,li1,205.8500,492.3200,1.799819
FILLER_178_428,VPWR,li1,202.6300,492.3200,1.799828
FILLER_178_421,VPWR,li1,199.4100,492.3200,1.799838
FILLER_178_414,VPWR,li1,196.8800,492.3200,1.799846
FILLER_178_409,VPWR,li1,193.4300,492.3200,1.799860
FILLER_178_393,VPWR,li1,186.5300,492.3200,1.799881
FILLER_178_386,VPWR,li1,184.0000,492.3200,1.799891
FILLER_178_379,VPWR,li1,180.0900,492.3200,1.799906
FILLER_178_365,VPWR,li1,173.4200,492.3200,1.799920
FILLER_178_358,VPWR,li1,170.2000,492.3200,1.799913
FILLER_178_352,VPWR,li1,167.4400,492.3200,1.799906
FILLER_178_344,VPWR,li1,165.1400,492.3200,1.799900
FILLER_178_337,VPWR,li1,160.7700,492.3200,1.799887
FILLER_178_335,VPWR,li1,159.3900,492.3200,1.799882
FILLER_178_329,VPWR,li1,157.7800,492.3200,1.799882
FILLER_178_325,VPWR,li1,154.7900,492.3200,1.799872
FILLER_178_295,VPWR,li1,140.9900,492.3200,1.799853
FILLER_178_285,VPWR,li1,137.5400,492.3200,1.799852
FILLER_178_279,VPWR,li1,133.6300,492.3200,1.799849
FILLER_178_273,VPWR,li1,132.0200,492.3200,1.799849
FILLER_178_267,VPWR,li1,128.5700,492.3200,1.799848
FILLER_178_260,VPWR,li1,125.3500,492.3200,1.799847
FILLER_178_253,VPWR,li1,122.1300,492.3200,1.799846
FILLER_178_246,VPWR,li1,118.6800,492.3200,1.799845
FILLER_178_239,VPWR,li1,115.6900,492.3200,1.799845
FILLER_178_234,VPWR,li1,112.9300,492.3200,1.799846
FILLER_178_225,VPWR,li1,109.2500,492.3200,1.799846
FILLER_178_218,VPWR,li1,105.8000,492.3200,1.799848
FILLER_178_211,VPWR,li1,102.8100,492.3200,1.799850
FILLER_178_204,VPWR,li1,99.5900,492.3200,1.799852
FILLER_178_197,VPWR,li1,96.3700,492.3200,1.799854
FILLER_178_190,VPWR,li1,92.9200,492.3200,1.799856
FILLER_178_183,VPWR,li1,89.9300,492.3200,1.799858
FILLER_178_176,VPWR,li1,86.7100,492.3200,1.799861
FILLER_178_169,VPWR,li1,83.4900,492.3200,1.799865
FILLER_178_156,VPWR,li1,77.2800,492.3200,1.799873
FILLER_178_148,VPWR,li1,74.9800,492.3200,1.799876
FILLER_178_141,VPWR,li1,70.6100,492.3200,1.799882
FILLER_178_134,VPWR,li1,67.1600,492.3200,1.799890
FILLER_178_127,VPWR,li1,64.1700,492.3200,1.799895
FILLER_178_120,VPWR,li1,60.9500,492.3200,1.799901
FILLER_178_113,VPWR,li1,57.7300,492.3200,1.799906
FILLER_178_105,VPWR,li1,54.0500,492.3200,1.799911
FILLER_178_97,VPWR,li1,51.5200,492.3200,1.799916
FILLER_178_85,VPWR,li1,46.9200,492.3200,1.799926
FILLER_178_81,VPWR,li1,43.0100,492.3200,1.799934
FILLER_178_69,VPWR,li1,39.5600,492.3200,1.799941
FILLER_178_57,VPWR,li1,34.0400,492.3200,1.799952
FILLER_178_53,VPWR,li1,30.1300,492.3200,1.799960
FILLER_178_41,VPWR,li1,26.6800,492.3200,1.799967
FILLER_178_29,VPWR,li1,21.1600,492.3200,1.799978
FILLER_178_27,VPWR,li1,17.7100,492.3200,1.799977
FILLER_178_23,VPWR,li1,16.5600,492.3200,1.799977
FILLER_178_11,VPWR,li1,12.8800,492.3200,1.799976
FILLER_177_1057,VPWR,li1,491.5100,486.8800,1.799998
FILLER_177_1045,VPWR,li1,488.5200,486.8800,1.799998
FILLER_177_1033,VPWR,li1,483.0000,486.8800,1.799999
FILLER_177_1021,VPWR,li1,477.4800,486.8800,1.799999
FILLER_177_1009,VPWR,li1,471.9600,486.8800,1.799999
FILLER_177_1007,VPWR,li1,468.5100,486.8800,1.799999
FILLER_177_1001,VPWR,li1,466.9000,486.8800,1.799999
FILLER_177_989,VPWR,li1,462.7600,486.8800,1.799999
FILLER_177_977,VPWR,li1,457.2400,486.8800,1.799999
FILLER_177_965,VPWR,li1,451.7200,486.8800,1.799999
FILLER_177_953,VPWR,li1,446.2000,486.8800,1.799999
FILLER_177_951,VPWR,li1,442.7500,486.8800,1.799999
FILLER_177_945,VPWR,li1,441.1400,486.8800,1.799999
FILLER_177_933,VPWR,li1,437.0000,486.8800,1.799999
FILLER_177_921,VPWR,li1,431.4800,486.8800,1.799999
FILLER_177_909,VPWR,li1,425.9600,486.8800,1.799999
FILLER_177_897,VPWR,li1,420.4400,486.8800,1.799999
FILLER_177_895,VPWR,li1,416.9900,486.8800,1.799999
FILLER_177_889,VPWR,li1,415.3800,486.8800,1.799999
FILLER_177_877,VPWR,li1,411.2400,486.8800,1.799999
FILLER_177_865,VPWR,li1,405.7200,486.8800,1.799999
FILLER_177_853,VPWR,li1,400.2000,486.8800,1.799999
FILLER_177_841,VPWR,li1,394.6800,486.8800,1.799999
FILLER_177_839,VPWR,li1,391.2300,486.8800,1.799999
FILLER_177_833,VPWR,li1,389.6200,486.8800,1.799999
FILLER_177_821,VPWR,li1,385.4800,486.8800,1.799999
FILLER_177_809,VPWR,li1,379.9600,486.8800,1.799999
FILLER_177_797,VPWR,li1,374.4400,486.8800,1.799999
FILLER_177_785,VPWR,li1,368.9200,486.8800,1.799999
FILLER_177_783,VPWR,li1,365.4700,486.8800,1.799999
FILLER_177_777,VPWR,li1,363.8600,486.8800,1.799999
FILLER_177_765,VPWR,li1,359.7200,486.8800,1.799999
FILLER_177_753,VPWR,li1,354.2000,486.8800,1.800000
FILLER_177_741,VPWR,li1,348.6800,486.8800,1.800000
FILLER_177_729,VPWR,li1,343.1600,486.8800,1.800000
FILLER_177_727,VPWR,li1,339.7100,486.8800,1.800000
FILLER_177_721,VPWR,li1,338.1000,486.8800,1.800000
FILLER_177_709,VPWR,li1,333.9600,486.8800,1.800000
FILLER_177_697,VPWR,li1,328.4400,486.8800,1.800000
FILLER_177_685,VPWR,li1,322.9200,486.8800,1.799999
FILLER_177_673,VPWR,li1,317.4000,486.8800,1.799999
FILLER_177_671,VPWR,li1,313.9500,486.8800,1.799999
FILLER_177_665,VPWR,li1,312.3400,486.8800,1.799999
FILLER_177_653,VPWR,li1,308.2000,486.8800,1.799999
FILLER_177_641,VPWR,li1,302.6800,486.8800,1.799999
FILLER_177_629,VPWR,li1,297.1600,486.8800,1.799998
FILLER_177_617,VPWR,li1,291.6400,486.8800,1.799998
